"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"1","XO TOUR Llif3","Lil Uzi Vert","Male","RapCaviar",11,1,72,0,"Men talk Woman",0.111111111111111
"2","Butterfly Effect","Travis Scott","Male","RapCaviar",NA,2,51,0,"Men talk Woman",0.0196078431372549
"3","Slippery","Migos","Male","RapCaviar",NA,3,107,0,"Men talk Woman",0.196261682242991
"4","Bank Account","21 Savage","Male","RapCaviar",95,4,80,0,"Men talk Woman",0.1
"5","Magnolia","Playboi Carti","Male","RapCaviar",NA,5,62,0,"Men talk Woman",0.370967741935484
"6","Portland","Drake","Male","RapCaviar",NA,6,97,0,"Men talk Woman",0.0927835051546392
"7","Roll in Peace","Kodak Black","Male","RapCaviar",NA,7,98,0,"Men talk Woman",0.571428571428571
"8","No Complaints","Metro Boomin","Male","RapCaviar",NA,8,102,0,"Men talk Woman",0.0784313725490196
"9","Water","Ugly God","Male","RapCaviar",NA,9,41,0,"Men talk Woman",0.682926829268293
"10","The Way Life Goes","Lil Uzi Vert","Male","RapCaviar",NA,10,68,0,"Men talk Woman",0.338235294117647
"11","Unforgettable","French Montana","Male","RapCaviar",8,11,77,0,"Men talk Woman",0.896103896103896
"12","DNA","Kendrick Lamar","Male","RapCaviar",61,12,100,0,"Men talk Woman",0
"13","Bodak Yellow","Cardi B","Female","RapCaviar",NA,13,58,0,"Men talk Woman",0
"14","Drowning","A Boogie Wit da Hoodie","Male","RapCaviar",NA,14,57,0,"Men talk Woman",0.105263157894737
"15","T-Shirt","Migos","Male","RapCaviar",NA,15,64,0,"Men talk Woman",0.234375
"16","Plain Jane","A$AP Ferg","Male","RapCaviar",NA,16,56,0,"Men talk Woman",0.285714285714286
"17","I Get the Bag","Gucci Mane","Male","RapCaviar",NA,17,119,0,"Men talk Woman",0.235294117647059
"18","Perplexing Pegasus","Rae Sremmurd","Male","RapCaviar",NA,18,52,0,"Men talk Woman",0.153846153846154
"19","Swang","Rae Sremmurd","Male","RapCaviar",NA,19,51,0,"Men talk Woman",0.274509803921569
"20","wokeuplikethis*","Playboi Carti","Male","RapCaviar",NA,20,73,0,"Men talk Woman",0.26027397260274
"21","Rake it Up","Yo Gotti (Ft. Nicki Minaj)","Both","RapCaviar",NA,21,82,0,"Men talk Woman",0.5
"22","HUMBLE.","Kendrick Lamar","Male","RapCaviar",6,22,70,0,"Men talk Woman",0.185714285714286
"23","iSpy","Kyle","Male","RapCaviar",46,23,80,0,"Men talk Woman",0.35
"24","Rockstar","Post Malone","Male","RapCaviar",38,24,65,0,"Men talk Woman",0.230769230769231
"25","Met Gala","Gucci Mane","Male","RapCaviar",NA,25,110,0,"Men talk Woman",0.318181818181818
"26","Tunnel Vision","Kodak Black","Male","RapCaviar",NA,26,69,0,"Men talk Woman",0.434782608695652
"27","1-800-273-8266","Logic (Ft. Alessia Cara)","Both","RapCaviar",36,27,93,0,"Men talk Woman",0
"28","Perfect Pint","Mike WiLL Made-it","Male","RapCaviar",NA,28,65,0,"Men talk Woman",0.0307692307692308
"29","Gyalchester","Drake","Male","RapCaviar",NA,29,42,0,"Men talk Woman",0.0952380952380952
"30","Crew REMIX","Goldlink","Male","RapCaviar",NA,30,75,0,"Men talk Woman",0.746666666666667
"31","Ahora Dice","Chris Jeday","Male","Trap Land",93,1,92,0,"Men talk Woman",0.695652173913043
"32","Bodak Yellow","Cardi B (Ft. Messiah)","Both","Trap Land",NA,2,66,0,"Men talk Woman",0.0606060606060606
"33","No Te Hagas","Jory Boy","Male","Trap Land",NA,3,70,0,"Men talk Woman",0.785714285714286
"34","Pa Ti","Bad Bunny","Male","Trap Land",NA,4,62,0,"Men talk Woman",0.903225806451613
"35","Krippy Kush","Farruko","Male","Trap Land",NA,5,77,0,"Men talk Woman",0.181818181818182
"36","Vuelve","Daddy Yankee","Male","Trap Land",NA,6,95,0,"Men talk Woman",0.578947368421053
"37","47 - Remix","Anuel Aa","Male","Trap Land",NA,7,204,0,"Men talk Woman",0.0294117647058824
"38","Doble Personalidad","Trap Capos","Male","Trap Land",NA,8,79,0,"Men talk Woman",0.810126582278481
"39","Lo Siento","Kaydy Cain","Male","Trap Land",NA,9,79,0,"Men talk Woman",0.848101265822785
"40","Ahora Me Llama","Karol G","Both","Trap Land",NA,10,61,0,"Men talk Woman",0.213114754098361
"41","Nunca Me Amo","Jon Z","Male","Trap Land",NA,11,69,0,"Men talk Woman",0.797101449275362
"42","Me Llueven","Mark B","Male","Trap Land",NA,12,86,0,"Men talk Woman",0.209302325581395
"43","Male Mujer","C. Tangana","Male","Trap Land",NA,13,49,0,"Men talk Woman",0.836734693877551
"44","Angel y Diabla","Hadrian","Male","Trap Land",NA,14,52,0,"Men talk Woman",0.980769230769231
